Meldedatum,AnzahlFall,AnzahlTodesfall
2020-03-10,3,0
2020-03-11,4,0
2020-03-12,4,0
2020-03-13,1,0
2020-03-14,1,0
2020-03-16,5,0
2020-03-17,2,0
2020-03-18,5,0
2020-03-19,9,0
2020-03-20,3,0
2020-03-21,2,0
2020-03-22,2,1
2020-03-23,11,1
2020-03-24,11,1
2020-03-25,6,0
2020-03-26,6,0
2020-03-27,12,0
2020-03-28,11,0
2020-03-29,14,1
2020-03-30,9,1
2020-03-31,3,0
2020-04-01,12,2
2020-04-02,10,0
2020-04-03,10,0
2020-04-04,3,0
2020-04-05,4,0
2020-04-06,4,1
2020-04-07,3,0
2020-04-08,5,0
2020-04-09,11,1
2020-04-10,6,0
2020-04-11,2,0
2020-04-13,3,0
2020-04-14,1,0
2020-04-15,9,0
2020-04-16,9,0
2020-04-17,2,0
2020-04-18,3,0
2020-04-20,14,1
2020-04-21,5,0
2020-04-22,4,0
2020-04-23,1,0
2020-04-24,5,0
2020-04-25,2,0
2020-04-26,1,0
2020-04-27,3,0
2020-04-28,5,0
2020-04-29,3,0
2020-04-30,1,0
2020-05-02,1,0
2020-05-04,5,0
2020-05-05,1,0
2020-05-06,2,0
2020-05-08,2,0
2020-05-09,1,0
2020-05-11,1,0
2020-05-30,1,0
2020-06-11,2,0
2020-06-25,1,0
2020-06-26,1,0
2020-06-27,1,0
2020-06-29,1,0
2020-06-30,2,0
2020-07-01,7,0
2020-07-08,2,0
2020-07-14,2,0
2020-07-15,3,0
2020-07-16,1,0
2020-07-17,3,0
2020-07-19,3,0
2020-07-22,3,0
2020-07-24,1,0
2020-07-26,2,0
2020-07-27,3,1
2020-07-28,1,0
2020-07-29,4,0
2020-07-30,6,0
2020-07-31,2,0
2020-08-01,2,0
2020-08-02,2,0
2020-08-04,5,0
2020-08-05,5,0
2020-08-06,6,0
2020-08-07,1,0
2020-08-10,2,0
2020-08-11,8,0
2020-08-12,11,0
2020-08-13,1,0
2020-08-14,9,0
2020-08-15,6,0
2020-08-16,2,0
2020-08-17,2,0
2020-08-18,6,0
2020-08-19,8,0
2020-08-20,5,0
2020-08-21,8,0
2020-08-22,1,0
2020-08-23,1,0
2020-08-24,1,0
2020-08-25,1,0
2020-08-27,6,0
2020-08-29,1,0
2020-09-01,2,0
2020-09-02,1,0
2020-09-03,1,0
2020-09-06,1,0
2020-09-07,1,0
2020-09-08,4,0
2020-09-09,2,0
2020-09-10,3,0
2020-09-11,2,0
2020-09-14,2,0
2020-09-15,1,0
2020-09-18,2,0
2020-09-19,1,0
2020-09-20,1,0
2020-09-21,2,0
2020-09-23,2,0
2020-09-24,1,0
2020-09-25,1,1
2020-09-29,3,0
2020-09-30,3,0
2020-10-01,5,0
2020-10-02,2,0
2020-10-03,1,0
2020-10-04,1,0
2020-10-06,4,0
2020-10-07,1,0
2020-10-08,3,0
2020-10-10,1,0
2020-10-12,4,0
2020-10-13,2,0
2020-10-14,2,0
2020-10-15,6,0
2020-10-16,5,0
2020-10-17,7,0
2020-10-18,4,1
2020-10-19,6,0
2020-10-20,10,0
2020-10-21,16,0
2020-10-22,14,0
2020-10-23,11,0
2020-10-24,7,0
2020-10-25,4,0
2020-10-26,5,0
2020-10-27,15,0
2020-10-28,17,0
2020-10-29,14,1
2020-10-30,16,0
2020-10-31,20,0
2020-11-01,7,0
2020-11-02,15,0
2020-11-03,27,0
2020-11-04,14,1
2020-11-05,13,1
2020-11-06,24,0
2020-11-07,20,0
2020-11-08,6,0
2020-11-09,17,0
2020-11-10,20,0
2020-11-11,27,0
2020-11-12,23,0
2020-11-13,17,0
2020-11-14,12,0
2020-11-15,10,0
2020-11-16,13,1
2020-11-17,29,0
2020-11-18,22,0
2020-11-19,29,0
2020-11-20,26,0
2020-11-21,29,0
2020-11-22,9,0
2020-11-23,21,0
2020-11-24,38,0
2020-11-25,32,0
2020-11-26,38,1
2020-11-27,18,1
2020-11-28,20,0
2020-11-29,11,0
2020-11-30,10,0
2020-12-01,32,0
2020-12-02,29,1
2020-12-03,47,7
2020-12-04,27,0
2020-12-05,33,0
2020-12-06,5,0
2020-12-07,34,1
2020-12-08,47,0
2020-12-09,43,0
2020-12-10,49,2
2020-12-11,46,2
2020-12-12,31,0
2020-12-13,14,0
2020-12-14,18,1
2020-12-15,62,0
2020-12-16,65,0
2020-12-17,28,1
2020-12-18,39,1
2020-12-19,28,0
2020-12-20,22,0
2020-12-21,26,3
2020-12-22,78,1
2020-12-23,46,0
2020-12-24,28,1
2020-12-25,29,2
2020-12-26,16,0
2020-12-27,11,1
2020-12-28,11,0
2020-12-29,46,3
2020-12-30,29,0
2020-12-31,24,0
2021-01-01,7,1
2021-01-02,13,3
2021-01-03,9,0
2021-01-04,30,0
2021-01-05,39,2
2021-01-06,37,1
2021-01-07,42,1
2021-01-08,52,3
2021-01-09,15,0
2021-01-10,8,1
2021-01-11,31,2
2021-01-12,25,1
2021-01-13,30,0
2021-01-14,28,1
2021-01-15,28,2
2021-01-16,26,1
2021-01-17,17,1
2021-01-18,14,1
2021-01-19,37,2
2021-01-20,33,3
2021-01-21,24,1
2021-01-22,25,0
2021-01-23,13,0
2021-01-24,11,1
2021-01-25,15,2
2021-01-26,26,0
2021-01-27,21,1
2021-01-28,22,1
2021-01-29,17,0
2021-01-30,12,1
2021-01-31,13,1
2021-02-01,6,1
2021-02-02,24,1
2021-02-03,9,0
2021-02-04,16,0
2021-02-05,11,0
2021-02-06,17,0
2021-02-07,8,0
2021-02-08,4,0
2021-02-09,14,0
2021-02-10,8,0
2021-02-11,18,0
2021-02-12,14,0
2021-02-13,10,0
2021-02-14,8,1
2021-02-15,6,0
2021-02-16,19,0
2021-02-17,15,0
2021-02-18,5,1
2021-02-19,16,0
2021-02-20,14,0
2021-02-21,7,0
2021-02-22,2,0
2021-02-23,24,0
2021-02-24,11,0
2021-02-25,18,0
2021-02-26,28,2
2021-02-27,28,0
2021-02-28,17,2
2021-03-01,19,0
2021-03-02,26,0
2021-03-03,22,0
2021-03-04,25,0
2021-03-05,6,0
2021-03-06,12,0
2021-03-07,10,0
2021-03-08,10,0
2021-03-09,13,0
2021-03-10,18,0
2021-03-11,23,0
2021-03-12,23,0
2021-03-13,6,0
2021-03-14,2,0
2021-03-15,3,1
2021-03-16,20,0
2021-03-17,33,0
2021-03-18,14,1
2021-03-19,23,0
2021-03-20,17,0
2021-03-21,6,0
2021-03-22,14,0
2021-03-23,23,2
2021-03-24,21,1
2021-03-25,22,0
2021-03-26,22,0
2021-03-27,31,0
2021-03-28,18,0
2021-03-29,10,0
2021-03-30,16,0
2021-03-31,19,0
2021-04-01,40,0
2021-04-02,25,0
2021-04-03,26,1
2021-04-04,13,0
2021-04-05,13,1
2021-04-06,15,1
2021-04-07,47,2
2021-04-08,32,0
2021-04-09,17,0
2021-04-10,31,0
2021-04-11,15,0
2021-04-12,25,0
2021-04-13,41,0
2021-04-14,33,0
2021-04-15,19,0
2021-04-16,35,0
2021-04-17,14,0
2021-04-18,20,0
2021-04-19,33,0
2021-04-20,46,0
2021-04-21,35,0
2021-04-22,36,0
2021-04-23,31,1
2021-04-24,42,2
2021-04-25,11,0
2021-04-26,31,0
2021-04-27,36,0
2021-04-28,37,0
2021-04-29,18,0
2021-04-30,41,0
2021-05-01,33,0
2021-05-02,16,1
2021-05-03,14,0
2021-05-04,39,0
2021-05-05,58,0
2021-05-06,14,0
2021-05-07,37,0
2021-05-08,30,0
2021-05-09,20,0
2021-05-10,15,0
2021-05-11,39,0
2021-05-12,37,0
2021-05-13,9,0
2021-05-14,12,0
2021-05-15,38,0
2021-05-16,11,0
2021-05-17,8,1
2021-05-18,29,0
2021-05-19,19,0
2021-05-20,19,0
2021-05-21,18,0
2021-05-22,14,1
2021-05-23,5,0
2021-05-24,5,0
2021-05-25,3,0
2021-05-26,11,0
2021-05-27,8,0
2021-05-28,13,0
2021-05-29,9,0
2021-05-30,4,1
2021-05-31,5,0
2021-06-01,2,0
2021-06-02,8,0
2021-06-03,2,0
2021-06-04,5,0
2021-06-05,1,0
2021-06-06,1,0
2021-06-07,3,0
2021-06-08,3,0
2021-06-09,7,0
2021-06-10,3,0
2021-06-11,2,0
2021-06-12,1,0
2021-06-15,3,0
2021-06-16,2,0
2021-06-17,4,0
2021-06-18,3,0
2021-06-21,1,0
2021-06-22,1,0
2021-06-23,3,0
2021-06-24,1,0
2021-06-25,4,0
2021-06-26,3,0
2021-06-29,3,0
2021-06-30,2,0
2021-07-02,2,0
2021-07-03,2,0
2021-07-05,3,0
2021-07-06,2,0
2021-07-07,2,0
2021-07-08,1,0
2021-07-09,3,0
2021-07-10,2,0
2021-07-11,2,0
2021-07-13,5,0
2021-07-14,2,0
2021-07-15,4,0
2021-07-16,2,0
2021-07-17,5,0
2021-07-18,3,0
2021-07-19,3,0
2021-07-20,4,0
2021-07-21,8,0
2021-07-22,11,0
2021-07-23,13,1
2021-07-24,13,0
2021-07-25,1,0
2021-07-26,8,0
2021-07-27,18,0
2021-07-28,28,0
2021-07-29,12,0
2021-07-30,9,0
2021-07-31,8,0
2021-08-01,1,0
2021-08-02,19,0
2021-08-03,17,0
2021-08-04,25,0
2021-08-05,23,0
2021-08-06,56,1
2021-08-07,11,0
2021-08-08,25,0
2021-08-09,36,0
2021-08-10,32,0
2021-08-11,50,0
2021-08-12,44,0
2021-08-13,43,0
2021-08-14,23,0
2021-08-15,18,0
2021-08-16,17,1
2021-08-17,49,0
2021-08-18,37,1
2021-08-19,23,0
2021-08-20,31,0
2021-08-21,23,0
2021-08-22,8,0
2021-08-23,27,1
2021-08-24,39,0
2021-08-25,35,0
2021-08-26,29,0
2021-08-27,37,1
2021-08-28,22,0
2021-08-29,18,0
2021-08-30,15,1
2021-08-31,50,0
2021-09-01,40,0
2021-09-02,34,0
2021-09-03,49,1
2021-09-04,30,0
2021-09-05,7,0
2021-09-06,29,0
2021-09-07,32,0
2021-09-08,21,0
2021-09-09,21,1
2021-09-10,32,0
2021-09-11,17,0
2021-09-12,18,0
2021-09-13,8,0
2021-09-14,28,0
2021-09-15,22,0
2021-09-16,22,0
2021-09-17,19,0
2021-09-18,13,0
2021-09-19,7,1
2021-09-20,15,1
2021-09-21,28,0
2021-09-22,28,0
2021-09-23,13,0
2021-09-24,26,0
2021-09-25,18,0
2021-09-26,4,0
2021-09-27,6,0
2021-09-28,26,0
2021-09-29,16,1
2021-09-30,21,0
2021-10-01,15,0
2021-10-02,9,0
2021-10-03,6,0
2021-10-04,8,0
2021-10-05,17,0
2021-10-06,21,0
2021-10-07,9,0
2021-10-08,22,0
2021-10-09,16,0
2021-10-10,8,0
2021-10-11,11,0
2021-10-12,20,0
2021-10-13,29,0
2021-10-14,13,0
2021-10-15,17,0
2021-10-16,17,0
2021-10-17,11,0
2021-10-18,17,0
2021-10-19,34,0
2021-10-20,27,0
2021-10-21,25,0
2021-10-22,21,0
2021-10-23,30,0
2021-10-24,11,0
2021-10-25,11,0
2021-10-26,46,0
2021-10-27,33,1
2021-10-28,40,1
2021-10-29,51,0
2021-10-30,30,0
2021-11-01,11,0
2021-11-02,49,1
2021-11-03,31,1
2021-11-04,44,0
2021-11-05,48,0
2021-11-06,22,0
2021-11-07,17,0
2021-11-08,27,0
2021-11-09,85,0
2021-11-10,49,0
2021-11-11,46,0
2021-11-12,46,0
2021-11-13,27,0
2021-11-14,24,0
2021-11-15,29,0
2021-11-16,46,0
2021-11-17,69,2
2021-11-18,69,0
2021-11-19,56,1
2021-11-20,29,0
2021-11-21,32,0
2021-11-22,36,0
2021-11-23,51,0
2021-11-24,73,0
2021-11-25,32,0
2021-11-26,61,0
2021-11-27,42,0
2021-11-28,16,0
2021-11-29,27,0
2021-11-30,96,1
2021-12-01,65,0
2021-12-02,63,0
2021-12-03,82,0
2021-12-04,31,0
2021-12-05,23,0
2021-12-06,68,3
2021-12-07,87,0
2021-12-08,60,0
2021-12-09,44,0
2021-12-10,75,0
2021-12-11,52,0
2021-12-12,27,0
2021-12-13,61,0
2021-12-14,66,0
2021-12-15,54,0
2021-12-16,59,0
2021-12-17,81,1
2021-12-18,38,0
2021-12-19,19,0
2021-12-20,52,0
2021-12-21,88,0
2021-12-22,57,0
2021-12-23,68,0
2021-12-24,33,0
2021-12-25,31,0
2021-12-26,42,0
2021-12-27,55,0
2021-12-28,123,0
2021-12-29,141,2
2021-12-30,189,0
2021-12-31,164,0
2022-01-01,134,0
2022-01-02,84,0
2022-01-03,141,2
2022-01-04,357,2
2022-01-05,363,0
2022-01-06,311,0
2022-01-07,314,0
2022-01-08,140,0
2022-01-09,111,0
2022-01-10,333,2
2022-01-11,502,0
2022-01-12,318,0
2022-01-13,373,2
2022-01-14,453,1
2022-01-15,173,0
2022-01-16,338,0
2022-01-17,216,0
2022-01-18,642,0
2022-01-19,456,1
2022-01-20,409,1
2022-01-21,365,0
2022-01-22,307,0
2022-01-23,242,1
2022-01-24,188,2
2022-01-25,565,0
2022-01-26,386,1
2022-01-27,348,0
2022-01-28,314,0
2022-01-29,266,2
2022-01-30,119,0
2022-01-31,243,1
2022-02-01,453,0
2022-02-02,420,1
2022-02-03,319,1
2022-02-04,289,0
2022-02-05,165,0
2022-02-06,198,1
2022-02-07,156,2
2022-02-08,496,2
2022-02-09,281,0
2022-02-10,266,2
2022-02-11,295,1
2022-02-12,177,0
2022-02-13,92,0
2022-02-14,165,0
2022-02-15,390,0
2022-02-16,267,2
2022-02-17,263,1
2022-02-18,238,1
2022-02-19,276,1
2022-02-20,93,2
2022-02-21,201,5
2022-02-22,460,0
2022-02-23,355,2
2022-02-24,292,0
2022-02-25,294,0
2022-02-26,119,0
2022-02-27,80,2
2022-02-28,444,2
2022-03-01,555,1
2022-03-02,432,1
2022-03-03,353,1
2022-03-04,397,3
2022-03-05,121,0
2022-03-06,82,1
2022-03-07,569,3
2022-03-08,664,2
2022-03-09,597,2
2022-03-10,556,2
2022-03-11,601,2
2022-03-12,74,0
2022-03-13,236,0
2022-03-14,736,0
2022-03-15,588,0
2022-03-16,695,3
2022-03-17,644,3
2022-03-18,753,0
2022-03-19,207,0
2022-03-20,416,0
2022-03-21,735,3
2022-03-22,1059,1
2022-03-23,675,0
2022-03-24,804,1
2022-03-25,589,0
2022-03-26,212,0
2022-03-28,789,3
2022-03-29,1307,1
2022-03-30,1643,1
2022-03-31,841,2
2022-04-01,465,1
2022-04-02,231,1
2022-04-04,540,3
2022-04-05,581,3
2022-04-06,432,0
2022-04-07,497,1
2022-04-08,595,0
2022-04-09,316,0
2022-04-11,661,0
2022-04-12,577,2
2022-04-13,373,0
2022-04-14,377,0
2022-04-15,307,0
2022-04-16,127,0
2022-04-18,351,1
2022-04-19,670,0
2022-04-20,684,1
2022-04-21,605,0
2022-04-22,445,0
2022-04-23,192,1
2022-04-25,598,1
2022-04-26,373,0
2022-04-27,349,0
2022-04-28,333,0
2022-04-29,254,0
2022-04-30,312,0
2022-05-02,251,1
2022-05-03,539,0
2022-05-04,344,0
2022-05-05,265,0
2022-05-06,238,0
2022-05-07,173,0
2022-05-09,291,2
